DY,MO,YEAR,pm25
1,10,2021,67
2,10,2021,56
3,10,2021,61
4,10,2021,81
5,10,2021,74
6,10,2021,64
7,10,2021,67
8,10,2021,47
12,10,2021,32
13,10,2021,35
20,10,2021,72
21,10,2021,70
22,10,2021,69
23,10,2021,78
24,10,2021,75
25,10,2021,72
26,10,2021,71
27,10,2021,82
28,10,2021,59
29,10,2021,53
30,10,2021,76
31,10,2021,64
1,11,2021,85
2,11,2021,52
3,11,2021,11
4,11,2021,14
5,11,2021,50
6,11,2021,64
7,11,2021,74
8,11,2021,55
9,11,2021,108
10,11,2021,71
11,11,2021,79
12,11,2021,59
13,11,2021,76
14,11,2021,77
15,11,2021,77
16,11,2021,81
17,11,2021,99
18,11,2021,96
19,11,2021,100
20,11,2021,103
21,11,2021,99
22,11,2021,66
23,11,2021,105
24,11,2021,97
25,11,2021,89
26,11,2021,85
27,11,2021,71
28,11,2021,72
29,11,2021,75
30,11,2021,57
1,12,2021,86
2,12,2021,109
3,12,2021,90
4,12,2021,106
5,12,2021,100
6,12,2021,95
7,12,2021,103
8,12,2021,123
9,12,2021,113
10,12,2021,86
11,12,2021,117
12,12,2021,126
13,12,2021,80
14,12,2021,80
15,12,2021,101
16,12,2021,85
17,12,2021,98
18,12,2021,89
19,12,2021,74
20,12,2021,100
21,12,2021,82
22,12,2021,85
23,12,2021,77
24,12,2021,95
25,12,2021,98
26,12,2021,101
27,12,2021,103
28,12,2021,84
29,12,2021,94
30,12,2021,53
31,12,2021,65
1,1,2022,70
2,1,2022,77
1,7,2021,52
2,7,2021,51
3,7,2021,67
4,7,2021,61
5,7,2021,53
6,7,2021,57
7,7,2021,36
8,7,2021,48
9,7,2021,39
10,7,2021,31
11,7,2021,38
12,7,2021,54
13,7,2021,82
14,7,2021,64
15,7,2021,56
16,7,2021,40
17,7,2021,49
18,7,2021,43
19,7,2021,48
20,7,2021,48
21,7,2021,43
22,7,2021,44
23,7,2021,52
24,7,2021,49
25,7,2021,36
26,7,2021,38
27,7,2021,34
28,7,2021,43
29,7,2021,36
30,7,2021,31
31,7,2021,41
1,8,2021,40
2,8,2021,42
3,8,2021,45
4,8,2021,42
5,8,2021,36
6,8,2021,47
7,8,2021,49
8,8,2021,35
9,8,2021,42
10,8,2021,45
11,8,2021,42
12,8,2021,50
13,8,2021,49
14,8,2021,46
15,8,2021,60
16,8,2021,82
17,8,2021,71
18,8,2021,47
19,8,2021,54
20,8,2021,69
21,8,2021,73
22,8,2021,38
23,8,2021,53
24,8,2021,42
25,8,2021,27
26,8,2021,34
27,8,2021,49
28,8,2021,59
29,8,2021,56
30,8,2021,47
31,8,2021,48
1,9,2021,39
2,9,2021,39
3,9,2021,31
4,9,2021,36
5,9,2021,38
6,9,2021,44
7,9,2021,41
8,9,2021,33
9,9,2021,30
10,9,2021,33
11,9,2021,34
12,9,2021,33
13,9,2021,38
14,9,2021,40
15,9,2021,31
16,9,2021,44
17,9,2021,59
18,9,2021,59
19,9,2021,48
20,9,2021,39
21,9,2021,38
22,9,2021,44
23,9,2021,50
24,9,2021,42
25,9,2021,42
26,9,2021,58
27,9,2021,56
28,9,2021,68
29,9,2021,61
30,9,2021,47
1,4,2021,73
2,4,2021,73
3,4,2021,67
4,4,2021,56
5,4,2021,86
6,4,2021,80
7,4,2021,96
8,4,2021,105
9,4,2021,96
10,4,2021,101
11,4,2021,70
12,4,2021,71
13,4,2021,65
14,4,2021,56
15,4,2021,85
16,4,2021,66
17,4,2021,81
18,4,2021,69
19,4,2021,67
20,4,2021,68
21,4,2021,66
22,4,2021,68
23,4,2021,79
24,4,2021,56
25,4,2021,51
26,4,2021,53
27,4,2021,58
28,4,2021,63
29,4,2021,72
30,4,2021,63
1,5,2021,54
2,5,2021,58
3,5,2021,61
4,5,2021,85
5,5,2021,65
6,5,2021,61
7,5,2021,84
8,5,2021,104
9,5,2021,58
10,5,2021,55
11,5,2021,46
12,5,2021,55
13,5,2021,53
14,5,2021,42
15,5,2021,70
16,5,2021,84
17,5,2021,43
18,5,2021,46
19,5,2021,78
20,5,2021,56
21,5,2021,68
22,5,2021,60
23,5,2021,57
24,5,2021,59
25,5,2021,75
26,5,2021,56
27,5,2021,75
28,5,2021,47
29,5,2021,48
30,5,2021,53
31,5,2021,60
1,6,2021,68
2,6,2021,75
3,6,2021,67
4,6,2021,67
5,6,2021,61
6,6,2021,56
7,6,2021,43
8,6,2021,53
9,6,2021,85
10,6,2021,54
11,6,2021,43
12,6,2021,42
13,6,2021,51
14,6,2021,50
15,6,2021,55
16,6,2021,62
17,6,2021,84
18,6,2021,77
19,6,2021,72
20,6,2021,54
21,6,2021,55
22,6,2021,56
23,6,2021,57
24,6,2021,73
25,6,2021,59
26,6,2021,54
27,6,2021,50
28,6,2021,54
29,6,2021,62
30,6,2021,63
4,1,2021,86
5,1,2021,78
6,1,2021,69
7,1,2021,81
8,1,2021,117
9,1,2021,96
10,1,2021,97
11,1,2021,98
12,1,2021,70
13,1,2021,109
14,1,2021,121
15,1,2021,112
16,1,2021,119
17,1,2021,85
18,1,2021,81
19,1,2021,153
20,1,2021,158
21,1,2021,125
22,1,2021,98
23,1,2021,94
24,1,2021,85
25,1,2021,101
26,1,2021,109
27,1,2021,114
28,1,2021,107
29,1,2021,108
30,1,2021,135
31,1,2021,120
1,2,2021,107
2,2,2021,98
3,2,2021,108
4,2,2021,115
5,2,2021,116
6,2,2021,115
7,2,2021,114
8,2,2021,96
9,2,2021,91
10,2,2021,64
11,2,2021,62
12,2,2021,66
13,2,2021,68
14,2,2021,63
15,2,2021,68
16,2,2021,67
17,2,2021,59
18,2,2021,94
19,2,2021,84
20,2,2021,88
21,2,2021,100
22,2,2021,73
23,2,2021,85
24,2,2021,73
25,2,2021,76
26,2,2021,80
27,2,2021,102
28,2,2021,59
1,3,2021,51
2,3,2021,60
3,3,2021,66
4,3,2021,68
5,3,2021,56
6,3,2021,64
7,3,2021,63
8,3,2021,87
9,3,2021,84
10,3,2021,86
11,3,2021,82
12,3,2021,74
13,3,2021,91
14,3,2021,99
15,3,2021,95
16,3,2021,79
17,3,2021,70
18,3,2021,60
19,3,2021,58
20,3,2021,48
21,3,2021,59
22,3,2021,78
23,3,2021,98
24,3,2021,77
25,3,2021,57
26,3,2021,61
27,3,2021,63
28,3,2021,57
29,3,2021,57
30,3,2021,74
31,3,2021,76
1,10,2020,60
2,10,2020,76
3,10,2020,75
4,10,2020,45
5,10,2020,50
6,10,2020,67
7,10,2020,63
8,10,2020,48
9,10,2020,58
10,10,2020,83
11,10,2020,50
12,10,2020,46
13,10,2020,58
14,10,2020,49
15,10,2020,51
16,10,2020,40
17,10,2020,37
18,10,2020,44
